Unnamed: 0,country,year,lat,lon,wealthpooled,households,urban_rural
1585,kenya,2015,-1.262753,36.757369,1.20015895366669,29,1
1586,kenya,2015,-1.338937,36.759522,1.24654138088226,17,1
1587,kenya,2015,-1.270583,36.963737,1.54955244064331,24,1
1588,kenya,2015,-1.322515,36.903702,1.7608996629715,25,1
1589,kenya,2015,-1.318353,36.835251,1.19050490856171,28,1
1590,kenya,2015,-1.20692,36.881645,1.729607462883,27,1
1591,kenya,2015,-1.276019,36.858857,2.18529343605042,28,1
1592,kenya,2015,-0.002178,36.364098,0.980737864971161,25,0
1593,kenya,2015,-0.427087,36.447645,0.596221208572388,28,0
1594,kenya,2015,-0.706864,36.58955,-0.0077661946415901,27,0
1595,kenya,2015,-0.186504,36.506193,-0.169698506593704,26,1
1596,kenya,2015,-0.194835,36.427213,-0.0731808990240097,28,1
1597,kenya,2015,-0.175527,36.857057,-0.0571291595697403,24,0
1598,kenya,2015,-0.385871,37.109734,-0.061607152223587,29,0
1599,kenya,2015,-0.566701,37.046412,1.07350206375122,29,0
1600,kenya,2015,-0.476565,37.141745,1.17192554473877,30,1
1601,kenya,2015,-0.424037,36.936094,1.50397717952728,26,1
1602,kenya,2015,-0.748159,37.340994,-0.245389759540558,30,0
1603,kenya,2015,-0.522359,37.273405,0.205018594861031,30,0
1604,kenya,2015,-0.531198,37.385329,0.196647971868515,30,0
1605,kenya,2015,-0.672902,37.354064,1.09341156482697,30,1
1606,kenya,2015,-0.523186,37.261742,1.28193080425262,30,1
1607,kenya,2015,-0.712532,36.915596,0.0044359578751027,29,0
1608,kenya,2015,-0.606501,36.964762,-0.0179404392838478,29,0
1609,kenya,2015,-0.966115,37.150631,0.23210820555687,26,0
1610,kenya,2015,-1.029366,37.15135,0.695191264152527,26,0
1611,kenya,2015,-0.716623,37.157401,0.932823479175568,24,1
1612,kenya,2015,-0.899258,37.209033,1.0255366563797,23,1
1613,kenya,2015,-1.061886,36.651355,0.488339751958847,27,0
1614,kenya,2015,-1.077364,36.989752,0.534129798412323,28,0
1615,kenya,2015,-0.897722,36.794013,0.221999689936638,28,0
1616,kenya,2015,-1.179889,36.725431,0.661568403244019,29,1
1617,kenya,2015,-1.164515,36.64103,1.39387214183807,22,1
1618,kenya,2015,-1.224665,36.709624,1.2646496295929,28,1
1619,kenya,2015,-1.068387,37.104735,1.38199889659882,24,1
1620,kenya,2015,-1.212726,36.918759,1.20596265792847,27,1
1621,kenya,2015,-4.068721,39.658694,2.18820595741272,23,1
1622,kenya,2015,-4.025692,39.679349,0.702783107757568,25,1
1623,kenya,2015,-4.036093,39.674162,0.860288023948669,21,1
1624,kenya,2015,-4.037488,39.621041,0.675875604152679,23,1
1625,kenya,2015,-4.030255,39.596942,0.323102355003357,26,1
1626,kenya,2015,-4.096663,39.637394,0.845921039581299,20,1
1627,kenya,2015,-4.354395,39.217181,-0.361772537231445,25,0
1628,kenya,2015,-4.198272,39.606146,0.502043724060059,18,0
1629,kenya,2015,-4.281549,39.157439,-0.0390895716845989,23,0
1630,kenya,2015,-4.455536,39.287201,-0.254966616630554,27,0
1631,kenya,2015,-4.565622,39.149036,-0.276466935873032,25,0
1632,kenya,2015,-4.255824,39.490214,-0.340332865715027,29,1
1633,kenya,2015,-4.271944,39.577297,0.507324993610382,22,1
1634,kenya,2015,-4.292095,39.546761,0.721482574939728,27,1
1635,kenya,2015,-3.871582,39.714702,-0.591023504734039,29,0
1636,kenya,2015,-3.611262,39.486816,-0.949346721172333,26,0
1637,kenya,2015,-3.89165,39.723049,-0.456105083227158,30,0
1638,kenya,2015,-3.161332,39.960715,-0.748904526233673,25,0
1639,kenya,2015,-2.99156,40.046926,-0.663041532039642,27,0
1640,kenya,2015,-3.94159,39.759106,1.61682045459747,24,1
1641,kenya,2015,-3.857072,39.472066,0.692664325237274,27,1
1642,kenya,2015,-3.216848,40.120578,1.51475381851196,27,1
1643,kenya,2015,-3.050384,40.121151,0.145439028739929,27,1
1644,kenya,2015,-1.394981,39.974198,-0.315123379230499,23,0
1645,kenya,2015,-2.361046,40.177563,-0.842138946056366,27,0
1646,kenya,2015,-0.476707,39.603112,-0.510742843151093,21,1
1647,kenya,2015,-2.284541,40.11211,0.422931522130966,24,1
1648,kenya,2015,-2.229977,40.854416,0.21774397790432,25,0
1649,kenya,2015,-2.34521,40.611872,-0.242132395505905,24,0
1650,kenya,2015,-2.140766,40.998046,-0.037746787071228,29,0
1651,kenya,2015,-2.266431,40.901743,1.43954825401306,25,1
1652,kenya,2015,-2.280861,40.902206,0.085406519472599,23,1
1653,kenya,2015,-3.661116,38.867996,-0.15358330309391,26,0
1654,kenya,2015,-3.442376,38.363205,0.535835385322571,29,0
1655,kenya,2015,-3.325398,38.370068,-0.0743010565638542,28,0
1656,kenya,2015,-3.199657,37.715855,0.740820467472076,27,0
1657,kenya,2015,-3.381375,38.582165,0.81305205821991,27,1
1658,kenya,2015,-3.417676,38.352798,1.76685225963593,22,1
1659,kenya,2015,-3.394437,37.675953,1.112349152565,26,1
1660,kenya,2015,3.656986,37.353585,-0.713441729545593,26,0
1661,kenya,2015,1.795652,37.486838,-0.848237633705139,24,0
1662,kenya,2015,2.315242,37.985914,1.00425601005554,21,1
1663,kenya,2015,3.530273,39.070401,0.730435073375702,25,1
1664,kenya,2015,0.592511,37.277353,-0.002056973055005,24,0
1665,kenya,2015,0.733972,39.169886,0.209302753210068,23,0
1666,kenya,2015,0.359367,37.578603,0.742202043533325,26,1
1667,kenya,2015,0.526084,38.492661,0.184404492378235,23,1
1668,kenya,2015,0.028611,37.145657,0.450341314077377,28,0
1669,kenya,2015,0.250546,37.970987,0.246591433882713,29,0
1670,kenya,2015,0.069628,37.6574,1.27140939235687,25,1
1671,kenya,2015,0.339148,37.935555,0.772268235683441,24,1
1672,kenya,2015,-0.300635,37.633157,0.563747465610504,29,0
1673,kenya,2015,-0.184505,38.024035,-0.322376817464828,25,0
1674,kenya,2015,-0.335717,37.658839,0.337476521730423,18,1
1675,kenya,2015,-0.336192,37.696146,-0.334224790334702,28,1
1676,kenya,2015,-0.379057,37.474444,0.299709349870682,30,0
1677,kenya,2015,-0.383309,37.887883,-0.435224324464798,28,0
1678,kenya,2015,-0.548235,37.454133,0.979811787605286,24,1
1679,kenya,2015,-0.538762,37.514863,0.103135883808136,28,1
1680,kenya,2015,-1.794304,38.208448,-0.0769099593162537,25,0
1681,kenya,2015,-0.290705,38.35576,-0.511255025863647,29,0
1682,kenya,2015,-1.379369,38.01663,1.31776547431946,25,1
1683,kenya,2015,-0.946572,38.051118,0.557684123516083,26,1
1684,kenya,2015,-1.451441,37.341535,-0.142367318272591,29,0
1685,kenya,2015,-1.422406,37.426768,0.11627222597599,28,0
1686,kenya,2015,-0.845841,37.241692,-0.194859012961388,30,0
1687,kenya,2015,-1.41096,36.966117,0.280249923467636,28,1
1688,kenya,2015,-1.51018,37.258172,1.56350910663605,25,1
1689,kenya,2015,-1.287746,37.391407,0.184837803244591,26,1
1690,kenya,2015,-1.651281,37.572966,-0.42576265335083,30,0
1691,kenya,2015,-1.972459,37.361659,0.392326772212982,28,0
1692,kenya,2015,-1.791109,37.361888,0.625485420227051,23,1
1693,kenya,2015,-1.808864,37.707638,-0.334613144397736,30,1
1694,kenya,2015,0.150711,39.441583,-0.653711378574371,21,0
1695,kenya,2015,0.17601,40.245118,-0.499058693647385,20,0
